trial_id,algorithm,n,mode,time_ms,calls,comparisons,swaps,mean_time_ms,median_time_ms
42,ExpoSort,8,random,0.0338,255,127,20,0.03315049504950495,0.0331
43,ExpoSort,8,random,0.0338,255,127,21,0.03315049504950495,0.0331
44,ExpoSort,8,random,0.0332,255,127,15,0.03315049504950495,0.0331
45,ExpoSort,8,random,0.0325,255,127,7,0.03315049504950495,0.0331
46,ExpoSort,8,random,0.0325,255,127,9,0.03315049504950495,0.0331
47,ExpoSort,8,random,0.0321,255,127,5,0.03315049504950495,0.0331
48,ExpoSort,8,random,0.0332,255,127,15,0.03315049504950495,0.0331
49,ExpoSort,8,random,0.0324,255,127,6,0.03315049504950495,0.0331
50,ExpoSort,8,random,0.0336,255,127,19,0.03315049504950495,0.0331
51,ExpoSort,8,random,0.0326,255,127,9,0.03315049504950495,0.0331
52,ExpoSort,8,random,0.0334,255,127,15,0.03315049504950495,0.0331
53,ExpoSort,8,random,0.0328,255,127,10,0.03315049504950495,0.0331
54,ExpoSort,8,random,0.0387,255,127,13,0.03315049504950495,0.0331
55,ExpoSort,8,random,0.0344,255,127,22,0.03315049504950495,0.0331
56,ExpoSort,8,random,0.0329,255,127,12,0.03315049504950495,0.0331
57,ExpoSort,8,random,0.0334,255,127,15,0.03315049504950495,0.0331
58,ExpoSort,8,random,0.0327,255,127,10,0.03315049504950495,0.0331
59,ExpoSort,8,random,0.0329,255,127,11,0.03315049504950495,0.0331
60,ExpoSort,8,random,0.0326,255,127,10,0.03315049504950495,0.0331
61,ExpoSort,8,random,0.0325,255,127,7,0.03315049504950495,0.0331
62,ExpoSort,8,random,0.0331,255,127,15,0.03315049504950495,0.0331
63,ExpoSort,8,random,0.0328,255,127,11,0.03315049504950495,0.0331
64,ExpoSort,8,random,0.0325,255,127,9,0.03315049504950495,0.0331
65,ExpoSort,8,random,0.0331,255,127,14,0.03315049504950495,0.0331
66,ExpoSort,8,random,0.033,255,127,13,0.03315049504950495,0.0331
67,ExpoSort,8,random,0.0332,255,127,15,0.03315049504950495,0.0331
68,ExpoSort,8,random,0.034,255,127,23,0.03315049504950495,0.0331
69,ExpoSort,8,random,0.0323,255,127,7,0.03315049504950495,0.0331
70,ExpoSort,8,random,0.0336,255,127,19,0.03315049504950495,0.0331
71,ExpoSort,8,random,0.0333,255,127,16,0.03315049504950495,0.0331
72,ExpoSort,8,random,0.0329,255,127,13,0.03315049504950495,0.0331
73,ExpoSort,8,random,0.0331,255,127,14,0.03315049504950495,0.0331
74,ExpoSort,8,random,0.033,255,127,14,0.03315049504950495,0.0331
75,ExpoSort,8,random,0.0332,255,127,15,0.03315049504950495,0.0331
76,ExpoSort,8,random,0.0334,255,127,18,0.03315049504950495,0.0331
77,ExpoSort,8,random,0.0329,255,127,13,0.03315049504950495,0.0331
78,ExpoSort,8,random,0.0331,255,127,14,0.03315049504950495,0.0331
79,ExpoSort,8,random,0.0334,255,127,18,0.03315049504950495,0.0331
80,ExpoSort,8,random,0.0328,255,127,13,0.03315049504950495,0.0331
81,ExpoSort,8,random,0.0336,255,127,20,0.03315049504950495,0.0331
82,ExpoSort,8,random,0.0335,255,127,17,0.03315049504950495,0.0331
83,ExpoSort,8,random,0.0334,255,127,18,0.03315049504950495,0.0331
84,ExpoSort,8,random,0.0331,255,127,13,0.03315049504950495,0.0331
85,ExpoSort,8,random,0.0332,255,127,17,0.03315049504950495,0.0331
